image_id,baseline_dice,result_dice,delta_dice,selected_positive,selected_negative,selected_boundary
PolypGen__C2_EndoCV2021_001039,1.3869625448137413e-09,1.3869625448137413e-09,0.0,,,
PolypGen__C3_C3_EndoCV2021_00343,1.4044944096625045e-09,1.4044944096625045e-09,0.0,,,
PolypGen__C4_28_endocv2021_positive_545,1.4684288229815934e-09,1.4684288229815934e-09,0.0,,,
PolypGen__C3_C3_EndoCV2021_00345,1.488095202617501e-09,1.488095202617501e-09,0.0,,,
PolypGen__C6_EndoCV2021_C6_0100030,1.4925373159613287e-09,1.4925373159613287e-09,0.0,,,
PolypGen__C6_EndoCV2021_C6_0100102,1.4925373159613287e-09,1.4925373159613287e-09,0.0,,,
PolypGen__C2_EndoCV2021_001356,1.5197568759006685e-09,1.5197568759006685e-09,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000277,1.5197568759006685e-09,1.5197568759006685e-09,0.0,,,
PolypGen__C2_EndoCV2021_001035,1.5360983596224287e-09,1.5360983596224287e-09,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000111,1.5432098932066651e-09,1.5432098932066651e-09,0.0,,,
PolypGen__C4_29_endocv2021_positive_39,1.5576323564303607e-09,1.5576323564303607e-09,0.0,,,
PolypGen__C2_EndoCV2021_001268,1.5748031767515158e-09,1.5748031767515158e-09,0.0,,,
PolypGen__C2_EndoCV2021_001163,1.587301623473536e-09,1.587301623473536e-09,0.0,,,
PolypGen__C4_27_endocv2021_positive_289,1.587301623473536e-09,1.587301623473536e-09,0.0,,,
PolypGen__C4_16_endocv2021_positive_498,1.6077170705841581e-09,1.6077170705841581e-09,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000255,1.650165004640769e-09,1.650165004640769e-09,0.0,,,
PolypGen__C2_EndoCV2021_001384,1.672240790284718e-09,1.672240790284718e-09,0.0,,,
PolypGen__C2_EndoCV2021_001064,1.6977929062633734e-09,1.6977929062633734e-09,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000049,1.7761989656861488e-09,1.7761989656861488e-09,0.0,,,
PolypGen__C3_C3_EndoCV2021_00332,1.8348623731512248e-09,1.8348623731512248e-09,0.0,,,
PolypGen__C1_144OLCV1_100H0024,1.8587360539612519e-09,1.8587360539612519e-09,0.0,,,
PolypGen__C1_642OLCV1_100H0012,1.872659138868471e-09,1.872659138868471e-09,0.0,,,
PolypGen__C4_21_endocv2021_positive_1482,1.8761725506521998e-09,1.8761725506521998e-09,0.0,,,
PolypGen__C2_EndoCV2021_001057,1.883239120203939e-09,1.883239120203939e-09,0.0,,,
PolypGen__C3_C3_EndoCV2021_0038,1.886792500016554e-09,1.886792500016554e-09,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000268,1.9455252964206693e-09,1.9455252964206693e-09,0.0,,,
PolypGen__C3_C3_EndoCV2021_00329,1.9531249950688334e-09,1.9531249950688334e-09,0.0,,,
PolypGen__C1_278OLCV1_100H0012,1.968504026450546e-09,1.968504026450546e-09,0.0,,,
PolypGen__C3_C3_EndoCV2021_00265,1.9801980055689228e-09,1.9801980055689228e-09,0.0,,,
PolypGen__C1_848OLCV1_100H0002,2.0283974500046043e-09,2.0283974500046043e-09,0.0,,,
PolypGen__C2_EndoCV2021_001053,2.0408164047580613e-09,2.0408164047580613e-09,0.0,,,
PolypGen__C3_C3_EndoCV2021_0055,2.0661157229540095e-09,2.0661157229540095e-09,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000271,2.074688865150165e-09,2.074688865150165e-09,0.0,,,
PolypGen__C4_27_endocv2021_positive_1257,2.0790020816008337e-09,2.0790020816008337e-09,0.0,,,
PolypGen__C3_C3_EndoCV2021_00321,2.1097046332130276e-09,2.1097046332130276e-09,0.0,,,
PolypGen__C3_C3_EndoCV2021_00416,2.1186441490073094e-09,2.1186441490073094e-09,0.0,,,
PolypGen__C2_EndoCV2021_001224,2.178649260997645e-09,2.178649260997645e-09,0.0,,,
PolypGen__C3_C3_EndoCV2021_0086,2.1978021624846633e-09,2.1978021624846633e-09,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000108,2.1978021624846633e-09,2.1978021624846633e-09,0.0,,,
PolypGen__C2_EndoCV2021_001213,2.3255812831024514e-09,2.3255812831024514e-09,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000278,2.34192043535586e-09,2.34192043535586e-09,0.0,,,
PolypGen__C2_EndoCV2021_001078,2.4096384887428712e-09,2.4096384887428712e-09,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000057,2.427184453424047e-09,2.427184453424047e-09,0.0,,,
PolypGen__C2_EndoCV2021_001141,2.976190405235002e-09,2.976190405235002e-09,0.0,,,
