image_id,baseline_dice,result_dice,delta_dice,selected_positive,selected_negative,selected_boundary
PolypGen__C6_EndoCV2021_C6_0100091,4.4424700029743747e-10,4.4424700029743747e-10,0.0,,,
PolypGen__C1_779OLCV1_100H0006,4.4863165959974083e-10,4.4863165959974083e-10,0.0,,,
PolypGen__C2_EndoCV2021_001159,4.5662099101839715e-10,4.5662099101839715e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_0036,4.64252553067368e-10,4.64252553067368e-10,0.0,,,
PolypGen__C4_14_endocv2021_positive_1242,4.6554934907128143e-10,4.6554934907128143e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000123,4.849660673045264e-10,4.849660673045264e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000203,4.901960504177794e-10,4.901960504177794e-10,0.0,,,
PolypGen__C1_906OLCV1_100H0010,4.967710132142145e-10,4.967710132142145e-10,0.0,,,
PolypGen__C2_EndoCV2021_001401,4.98504459933713e-10,4.98504459933713e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00313,5.005004743985353e-10,5.005004743985353e-10,0.0,,,
PolypGen__C6_EndoCV2021_C6_0100008,5.005004743985353e-10,5.005004743985353e-10,0.0,,,
PolypGen__C4_29_endocv2021_positive_323,5.081300935572131e-10,5.081300935572131e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_0087,5.288207094444886e-10,5.288207094444886e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00149,5.293806504269583e-10,5.293806504269583e-10,0.0,,,
PolypGen__C1_732OLCV1_100H0036,5.299417016324526e-10,5.299417016324526e-10,0.0,,,
PolypGen__C4_17_endocv2021_positive_151,5.458515306422385e-10,5.458515306422385e-10,0.0,,,
PolypGen__C2_EndoCV2021_001376,5.56483026326049e-10,5.56483026326049e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00261,5.577244777121848e-10,5.577244777121848e-10,0.0,,,
PolypGen__C1_342OLCV1_100H0004,5.58659229987768e-10,5.58659229987768e-10,0.0,,,
PolypGen__C2_EndoCV2021_001099,5.611672238003962e-10,5.611672238003962e-10,0.0,,,
PolypGen__C2_EndoCV2021_001351,5.614823050947848e-10,5.614823050947848e-10,0.0,,,
PolypGen__C2_EndoCV2021_001235,5.743825415294168e-10,5.743825415294168e-10,0.0,,,
PolypGen__C6_EndoCV2021_C6_0100039,5.903187938471888e-10,5.903187938471888e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00420,5.906674593880723e-10,5.906674593880723e-10,0.0,,,
